Term	Sample	Enrichment	Bonferroni
Ribosome	R3	1.871671582125435	4.374278717023117E-14
Wnt signaling pathway	R3	1.5288429789781408	3.8240949851164885E-8
TGF-beta signaling pathway	R3	1.492598856631676	0.0023237749811206854
Proteasome	R3	1.6665085511733608	0.0038144936381466765
VEGF signaling pathway	R3	1.511552492906364	0.005305558898732743
Ubiquitin mediated proteolysis	R3	1.369123525426136	0.005729921722954945
Cell cycle	R3	1.3851317389541955	0.006481883338312566
Neurotrophin signaling pathway	R3	1.3796795114871139	0.009031912146012733
Colorectal cancer	R3	1.447753199374602	0.01918335576956398
MAPK signaling pathway	R3	1.2351807909347203	0.02491354928991152
Pancreatic cancer	R3	1.4600222942845562	0.0455895444454667
Pyrimidine metabolism	R3	1.388603247071875	0.058704506753155306
p53 signaling pathway	R3	1.4549703140275163	0.08140437261098621
Alzheimer's disease	R3	1.2771901989699617	0.10191934962506677
Basal cell carcinoma	R3	1.4990603235435014	0.11026338172447392
Thyroid cancer	R3	1.7058272647219155	0.12080462734954978
Apoptosis	R3	1.3741386299148763	0.16720337749802072
Epithelial cell signaling in Helicobacter pylori infection	R3	1.4246584324852762	0.18420487708096167
DNA replication	R3	1.6031617349006893	0.18872103328708312
Homologous recombination	R3	1.693135097573687	0.1924923748329972
